algorithm,n_threads,n_elems,t_random,t_distribute,t_merge,t_sort,t_writeback,t_total,sorted
bs2,4,5000,0.000100,0.000097,0.000000,0.000318,0.000328,0.000754,1
bs2,6,5000,0.000134,0.000083,0.000000,0.000341,0.000345,0.000781,1
bs2,8,5000,0.000170,0.000075,0.000000,0.000355,0.000370,0.000818,1
bs2,10,5000,0.000214,0.000074,0.000000,0.000331,0.000340,0.000762,1
bs2,12,5000,0.000254,0.000065,0.000000,0.000346,0.000358,0.000786,1
bs2,16,5000,0.000318,0.000076,0.000000,0.000345,0.000356,0.000799,1
bs2,20,5000,0.000391,0.000080,0.000000,0.000360,0.000371,0.000836,1
bs2,24,5000,0.000651,0.000083,0.000000,0.000335,0.000351,0.000800,1
bs2,32,5000,0.000660,0.000172,0.000000,0.000486,0.000460,0.001169,1
bs2,48,5000,0.001005,0.000063,0.000000,0.000507,0.000437,0.001076,1
bs2,1,10000,0.000094,0.000181,0.000000,0.000289,0.000237,0.000763,1
bs2,2,10000,0.000094,0.000279,0.000000,0.000537,0.000561,0.001411,1
bs2,3,10000,0.000096,0.000219,0.000000,0.000657,0.000691,0.001596,1
bs2,4,10000,0.000114,0.000187,0.000000,0.000640,0.000665,0.001515,1
bs2,6,10000,0.000149,0.000139,0.000000,0.000686,0.000702,0.001546,1
bs2,8,10000,0.000169,0.000119,0.000000,0.000706,0.000727,0.001576,1
bs2,10,10000,0.000207,0.000110,0.000000,0.000688,0.000713,0.001539,1
bs2,12,10000,0.000251,0.000103,0.000000,0.000464,0.000482,0.001085,1
bs2,16,10000,0.000309,0.000093,0.000000,0.000451,0.000476,0.001045,1
bs2,20,10000,0.000401,0.000109,0.000000,0.000451,0.000484,0.001074,1
bs2,24,10000,0.000468,0.000091,0.000000,0.000462,0.000513,0.001100,1
bs2,32,10000,0.000641,0.000087,0.000000,0.000572,0.000637,0.001352,1
bs2,48,10000,0.000967,0.000096,0.000000,0.000578,0.000651,0.001411,1
bs2,1,30000,0.000248,0.000659,0.000000,0.000906,0.000723,0.002446,1
bs2,2,30000,0.000186,0.000762,0.000000,0.001441,0.001665,0.003961,1
bs2,3,30000,0.000162,0.000612,0.000000,0.001768,0.001990,0.004432,1
bs2,4,30000,0.000171,0.000494,0.000000,0.001936,0.002082,0.004564,1
bs2,6,30000,0.000184,0.000369,0.000000,0.001996,0.002111,0.004521,1
bs2,8,30000,0.000210,0.000310,0.000000,0.002123,0.002233,0.004703,1
bs2,10,30000,0.000230,0.000263,0.000000,0.002098,0.002204,0.004599,1
bs2,12,30000,0.000267,0.000232,0.000000,0.002134,0.002246,0.004646,1
bs2,16,30000,0.000365,0.000200,0.000000,0.002028,0.002117,0.004383,1
bs2,20,30000,0.000415,0.000189,0.000000,0.002074,0.002170,0.004474,1
bs2,24,30000,0.000466,0.000181,0.000000,0.002149,0.002244,0.004616,1
bs2,32,30000,0.000633,0.000304,0.000000,0.002764,0.002664,0.005799,1
bs2,48,30000,0.000988,0.000229,0.000000,0.002716,0.002730,0.005761,1
bs2,1,50000,0.000397,0.001236,0.000000,0.001507,0.001177,0.004187,1
bs2,2,50000,0.000262,0.001199,0.000000,0.002407,0.002758,0.006500,1
bs2,3,50000,0.000213,0.000955,0.000000,0.003328,0.003594,0.007986,1
bs2,4,50000,0.000209,0.000776,0.000000,0.003176,0.003385,0.007427,1
bs2,6,50000,0.000219,0.000581,0.000000,0.003341,0.003501,0.007497,1
bs2,8,50000,0.000226,0.000478,0.000000,0.003314,0.003507,0.007361,1
bs2,10,50000,0.000273,0.000400,0.000000,0.003465,0.003613,0.007535,1
bs2,12,50000,0.000295,0.000361,0.000000,0.003451,0.003628,0.007499,1
bs2,16,50000,0.000359,0.000298,0.000000,0.003455,0.003607,0.007422,1
bs2,20,50000,0.000431,0.000269,0.000000,0.003358,0.003487,0.007172,1
bs2,24,50000,0.000535,0.000242,0.000000,0.003523,0.003701,0.007532,1
bs2,32,50000,0.000659,0.000347,0.000000,0.004620,0.004429,0.009496,1
bs2,48,50000,0.001034,0.000280,0.000000,0.004525,0.004529,0.009469,1
bs2,1,100000,0.000809,0.003904,0.000000,0.003046,0.002388,0.009863,1
bs2,2,100000,0.000464,0.002496,0.000000,0.004740,0.005515,0.013022,1
bs2,3,100000,0.000375,0.001934,0.000000,0.006146,0.006775,0.015044,1
bs2,4,100000,0.000336,0.001547,0.000000,0.007066,0.007524,0.016297,1
bs2,6,100000,0.000293,0.001169,0.000000,0.006643,0.007080,0.015012,1
bs2,8,100000,0.000295,0.000861,0.000000,0.007003,0.007425,0.015397,1
bs2,10,100000,0.000317,0.000772,0.000000,0.006982,0.007392,0.015240,1
bs2,12,100000,0.000364,0.000690,0.000000,0.006957,0.007315,0.015057,1
bs2,16,100000,0.000434,0.000509,0.000000,0.006856,0.007200,0.014662,1
bs2,20,100000,0.000506,0.000429,0.000000,0.006767,0.007080,0.014369,1
bs2,24,100000,0.000590,0.000429,0.000000,0.006815,0.007212,0.014555,1
bs2,32,100000,0.000782,0.000710,0.000000,0.009390,0.008976,0.019221,1
bs2,48,100000,0.001098,0.000646,0.000000,0.008993,0.008998,0.018800,1
