algorithm,n_threads,n_elems,t_random,t_distribute,t_merge,t_sort,t_writeback,t_total,sorted
bs2,1,100,0.000014,0.000005,0.000000,0.000005,0.000006,0.000021,1
bs2,2,100,0.000060,0.000006,0.000000,0.000003,0.000010,0.000023,1
bs2,3,100,0.000070,0.000006,0.000000,0.000003,0.000010,0.000022,1
bs2,4,100,0.000091,0.000008,0.000000,0.000003,0.000013,0.000028,1
bs2,6,100,0.000125,0.000008,0.000000,0.000003,0.000010,0.000028,1
bs2,8,100,0.000171,0.000026,0.000000,0.000004,0.000011,0.000048,1
bs2,10,100,0.000213,0.000035,0.000000,0.000004,0.000013,0.000059,1
bs2,12,100,0.000246,0.000051,0.000000,0.000004,0.000013,0.000077,1
bs2,16,100,0.000339,0.000051,0.000000,0.000005,0.000013,0.000079,1
bs2,20,100,0.000413,0.000057,0.000000,0.000006,0.000017,0.000091,1
bs2,24,100,0.000515,0.000034,0.000000,0.000006,0.000021,0.000074,1
bs2,32,100,0.000678,0.000022,0.000000,0.000010,0.000028,0.000081,1
bs2,48,100,0.001084,0.000230,0.000000,0.000014,0.000043,0.000316,1
bs2,1,300,0.000015,0.000008,0.000000,0.000007,0.000009,0.000028,1
bs2,2,300,0.000049,0.000015,0.000000,0.000005,0.000021,0.000046,1
bs2,3,300,0.000065,0.000014,0.000000,0.000005,0.000023,0.000048,1
bs2,4,300,0.000095,0.000017,0.000000,0.000004,0.000024,0.000052,1
bs2,6,300,0.000119,0.000022,0.000000,0.000004,0.000025,0.000057,1
bs2,8,300,0.000153,0.000024,0.000000,0.000004,0.000029,0.000065,1
bs2,10,300,0.000205,0.000029,0.000000,0.000005,0.000027,0.000070,1
bs2,12,300,0.000240,0.000039,0.000000,0.000005,0.000027,0.000079,1
bs2,16,300,0.000314,0.000054,0.000000,0.000005,0.000031,0.000100,1
bs2,20,300,0.000402,0.000056,0.000000,0.000006,0.000032,0.000107,1
bs2,24,300,0.000473,0.000065,0.000000,0.000007,0.000037,0.000123,1
