algorithm,n_threads,n_elems,t_random,t_distribute,t_merge,t_sort,t_writeback,t_total,sorted
bs2,4,5000,0.000107,0.000099,0.000000,0.000034,0.000022,0.000168,1
bs2,6,5000,0.000305,0.000081,0.000000,0.000026,0.000035,0.000154,1
bs2,8,5000,0.000168,0.000073,0.000000,0.000022,0.000019,0.000129,1
bs2,10,5000,0.000220,0.000065,0.000000,0.000017,0.000017,0.000116,1
bs2,12,5000,0.000262,0.000069,0.000000,0.000016,0.000018,0.000120,1
bs2,16,5000,0.000324,0.000071,0.000000,0.000014,0.000019,0.000128,1
bs2,20,5000,0.000407,0.000085,0.000000,0.000013,0.000019,0.000143,1
bs2,24,5000,0.000476,0.000074,0.000000,0.000013,0.000023,0.000136,1
bs2,32,5000,0.000672,0.000174,0.000000,0.000018,0.000032,0.000266,1
bs2,48,5000,0.000992,0.000064,0.000000,0.000024,0.000043,0.000195,1
bs2,1,10000,0.000091,0.000185,0.000000,0.000181,0.000113,0.000534,1
bs2,2,10000,0.000094,0.000280,0.000000,0.000116,0.000057,0.000484,1
bs2,3,10000,0.000095,0.000215,0.000000,0.000082,0.000046,0.000370,1
bs2,4,10000,0.000112,0.000181,0.000000,0.000065,0.000040,0.000309,1
bs2,6,10000,0.000147,0.000144,0.000000,0.000048,0.000035,0.000255,1
bs2,8,10000,0.000185,0.000126,0.000000,0.000038,0.000032,0.000221,1
bs2,10,10000,0.000221,0.000105,0.000000,0.000031,0.000030,0.000186,1
bs2,12,10000,0.000242,0.000106,0.000000,0.000029,0.000031,0.000189,1
bs2,16,10000,0.000320,0.000104,0.000000,0.000022,0.000035,0.000187,1
bs2,20,10000,0.000387,0.000095,0.000000,0.000020,0.000036,0.000184,1
bs2,24,10000,0.000450,0.000113,0.000000,0.000019,0.000034,0.000200,1
bs2,32,10000,0.000654,0.000186,0.000000,0.000026,0.000058,0.000326,1
bs2,48,10000,0.001029,0.000090,0.000000,0.000025,0.000059,0.000266,1
bs2,1,30000,0.000263,0.000660,0.000000,0.000576,0.000359,0.001752,1
bs2,2,30000,0.000183,0.000779,0.000000,0.000331,0.000212,0.001410,1
bs2,3,30000,0.000159,0.000617,0.000000,0.000224,0.000174,0.001078,1
bs2,4,30000,0.000164,0.000495,0.000000,0.000178,0.000161,0.000885,1
bs2,6,30000,0.000191,0.000369,0.000000,0.000122,0.000141,0.000671,1
bs2,8,30000,0.000218,0.000307,0.000000,0.000096,0.000134,0.000573,1
bs2,10,30000,0.000239,0.000267,0.000000,0.000082,0.000140,0.000532,1
bs2,12,30000,0.000288,0.000233,0.000000,0.000069,0.000127,0.000460,1
bs2,16,30000,0.000360,0.000201,0.000000,0.000057,0.000125,0.000414,1
bs2,20,30000,0.000437,0.000184,0.000000,0.000049,0.000126,0.000393,1
bs2,24,30000,0.000482,0.000183,0.000000,0.000042,0.000130,0.000406,1
bs2,32,30000,0.000641,0.000309,0.000000,0.000048,0.000164,0.000589,1
bs2,48,30000,0.001018,0.000189,0.000000,0.000059,0.000218,0.000556,1
bs2,1,50000,0.000398,0.001210,0.000000,0.000938,0.000573,0.002989,1
bs2,2,50000,0.000274,0.001227,0.000000,0.000505,0.000341,0.002223,1
bs2,3,50000,0.000217,0.000971,0.000000,0.000352,0.000291,0.001722,1
bs2,4,50000,0.000214,0.000797,0.000000,0.000272,0.000256,0.001413,1
bs2,6,50000,0.000214,0.000605,0.000000,0.000199,0.000255,0.001128,1
bs2,8,50000,0.000239,0.000485,0.000000,0.000153,0.000212,0.000933,1
bs2,10,50000,0.000262,0.000415,0.000000,0.000128,0.000206,0.000814,1
bs2,12,50000,0.000287,0.000366,0.000000,0.000109,0.000198,0.000731,1
bs2,16,50000,0.000372,0.000315,0.000000,0.000089,0.000208,0.000669,1
bs2,20,50000,0.000422,0.000278,0.000000,0.000074,0.000197,0.000616,1
bs2,24,50000,0.000535,0.000242,0.000000,0.000067,0.000200,0.000572,1
bs2,32,50000,0.000692,0.000307,0.000000,0.000089,0.000263,0.000746,1
