algorithm,n_threads,n_elems,t_random,t_distribute,t_merge,t_sort,t_writeback,t_total,sorted
bs3,1,100,0.000013,0.000004,0.000009,0.000004,0.000003,0.000023,1
bs3,2,100,0.000060,0.000010,0.000010,0.000008,0.000002,0.000034,1
bs3,3,100,0.000071,0.000009,0.000011,0.000003,0.000003,0.000030,1
bs3,4,100,0.000090,0.000022,0.000011,0.000003,0.000003,0.000044,1
bs3,6,100,0.000132,0.000022,0.000012,0.000003,0.000003,0.000049,1
bs3,8,100,0.000172,0.000037,0.000011,0.000003,0.000004,0.000063,1
bs3,10,100,0.000213,0.000041,0.000015,0.000003,0.000004,0.000072,1
bs3,12,100,0.000246,0.000046,0.000012,0.000004,0.000004,0.000083,1
bs3,16,100,0.000322,0.000061,0.000014,0.000005,0.000006,0.000121,1
bs3,20,100,0.000414,0.000075,0.000018,0.000006,0.000006,0.000143,1
bs3,24,100,0.000487,0.000079,0.000015,0.000007,0.000011,0.000154,1
bs3,32,100,0.001029,0.000055,0.000024,0.000011,0.000011,0.000161,1
bs3,48,100,0.001067,0.000052,0.000031,0.000018,0.000017,0.000210,1
bs3,1,300,0.000011,0.000009,0.000016,0.000008,0.000004,0.000041,1
bs3,2,300,0.000051,0.000013,0.000022,0.000005,0.000003,0.000050,1
bs3,3,300,0.000066,0.000021,0.000027,0.000004,0.000003,0.000065,1
bs3,4,300,0.000090,0.000024,0.000025,0.000004,0.000003,0.000074,1
bs3,6,300,0.000125,0.000032,0.000028,0.000004,0.000003,0.000098,1
bs3,8,300,0.000163,0.000037,0.000026,0.000005,0.000004,0.000109,1
bs3,10,300,0.000207,0.000050,0.000027,0.000005,0.000006,0.000132,1
bs3,12,300,0.000248,0.000062,0.000031,0.000005,0.000007,0.000156,1
bs3,16,300,0.000317,0.000058,0.000027,0.000006,0.000006,0.000162,1
bs3,20,300,0.000391,0.000072,0.000047,0.000007,0.000008,0.000212,1
bs3,24,300,0.000456,0.000091,0.000063,0.000007,0.000009,0.000260,1
bs3,32,300,0.000639,0.000113,0.000128,0.000015,0.000018,0.000402,1
bs3,48,300,0.001027,0.000234,0.000210,0.000022,0.000023,0.000692,1
bs3,1,500,0.000008,0.000017,0.000026,0.000011,0.000005,0.000068,1
bs3,2,500,0.000050,0.000016,0.000042,0.000007,0.000004,0.000083,1
bs3,3,500,0.000072,0.000040,0.000045,0.000007,0.000006,0.000124,1
bs3,4,500,0.000096,0.000034,0.000045,0.000006,0.000005,0.000123,1
bs3,6,500,0.000134,0.000039,0.000045,0.000005,0.000006,0.000140,1
bs3,8,500,0.000157,0.000048,0.000051,0.000005,0.000006,0.000163,1
bs3,10,500,0.000203,0.000057,0.000044,0.000005,0.000007,0.000179,1
bs3,12,500,0.000258,0.000070,0.000057,0.000006,0.000007,0.000229,1
bs3,16,500,0.000323,0.000082,0.000071,0.000007,0.000007,0.000266,1
bs3,20,500,0.000393,0.000105,0.000105,0.000007,0.000008,0.000359,1
bs3,24,500,0.000479,0.000116,0.000123,0.000008,0.000010,0.000415,1
bs3,32,500,0.000635,0.000208,0.000272,0.000013,0.000015,0.000701,1
bs3,48,500,0.000993,0.000273,0.000362,0.000022,0.000024,0.000979,1
bs3,1,1000,0.000016,0.000038,0.000060,0.000020,0.000010,0.000140,1
bs3,2,1000,0.000051,0.000042,0.000074,0.000013,0.000009,0.000167,1
bs3,3,1000,0.000065,0.000042,0.000087,0.000010,0.000008,0.000197,1
bs3,4,1000,0.000090,0.000049,0.000092,0.000008,0.000008,0.000222,1
bs3,6,1000,0.000120,0.000057,0.000087,0.000008,0.000008,0.000250,1
bs3,8,1000,0.000168,0.000081,0.000090,0.000007,0.000008,0.000306,1
bs3,10,1000,0.000211,0.000092,0.000118,0.000007,0.000008,0.000355,1
bs3,12,1000,0.000248,0.000116,0.000153,0.000006,0.000009,0.000457,1
bs3,16,1000,0.000325,0.000130,0.000190,0.000007,0.000009,0.000547,1
bs3,20,1000,0.000385,0.000157,0.000245,0.000008,0.000012,0.000680,1
bs3,24,1000,0.000457,0.000091,0.000275,0.000009,0.000013,0.000870,1
bs3,32,1000,0.000628,0.000264,0.000575,0.000017,0.000021,0.001255,1
bs3,48,1000,0.000967,0.000783,0.000733,0.000019,0.000023,0.002241,1
bs3,1,2000,0.000023,0.000073,0.000093,0.000040,0.000020,0.000261,1
bs3,2,2000,0.000058,0.000070,0.000142,0.000025,0.000015,0.000296,1
bs3,3,2000,0.000069,0.000080,0.000173,0.000018,0.000013,0.000364,1
bs3,4,2000,0.000087,0.000095,0.000172,0.000015,0.000012,0.000395,1
bs3,6,2000,0.000129,0.000106,0.000186,0.000012,0.000011,0.000484,1
bs3,8,2000,0.000177,0.000133,0.000191,0.000010,0.000010,0.000559,1
bs3,10,2000,0.000213,0.000117,0.000216,0.000009,0.000011,0.000622,1
bs3,12,2000,0.000253,0.000164,0.000298,0.000009,0.000011,0.000815,1
bs3,16,2000,0.000324,0.000505,0.000403,0.000009,0.000012,0.001220,1
bs3,20,2000,0.000393,0.000433,0.000509,0.000009,0.000013,0.001381,1
bs3,24,2000,0.000494,0.000489,0.000625,0.000011,0.000014,0.001657,1
bs3,32,2000,0.000682,0.000411,0.001300,0.000017,0.000023,0.002487,1
bs3,48,2000,0.001029,0.000565,0.001253,0.000023,0.000040,0.002750,1
bs3,1,5000,0.000048,0.000163,0.000259,0.000097,0.000051,0.000640,1
bs3,2,5000,0.000070,0.000183,0.000353,0.000057,0.000036,0.000730,1
bs3,3,5000,0.000085,0.000189,0.000421,0.000042,0.000030,0.000861,1
bs3,4,5000,0.000111,0.000192,0.000437,0.000032,0.000029,0.000942,1
bs3,6,5000,0.000141,0.000207,0.000434,0.000026,0.000026,0.001109,1
bs3,8,5000,0.000178,0.000502,0.000439,0.000020,0.000025,0.001383,1
bs3,10,5000,0.000225,0.000341,0.000591,0.000017,0.000023,0.001522,1
bs3,12,5000,0.000259,0.000429,0.000732,0.000016,0.000023,0.001906,1
bs3,16,5000,0.000322,0.000510,0.000969,0.000014,0.000023,0.002241,1
bs3,20,5000,0.000416,0.000461,0.001245,0.000012,0.000024,0.002663,1
bs3,24,5000,0.000495,0.000631,0.001447,0.000014,0.000025,0.003162,1
